,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Alphaproteobacteria;__;__,98.41269841,100,34.7826087,88.23529412,96.22641509,100,100,100,75,100,100,90.625,100,81.81818182,100,91.66666667,90.32258065,92.59259259,100,96.15384615,100,95.23809524,98.14814815,85,100,100,100,100,82.35294118,100,100,100,100,94.73684211,100,66.66666667,95.37037037,87.03703704,100,95,91.66666667
Bacteria;Proteobacteria;Alphaproteobacteria;unclassified_Alphaproteobacteria;,20.63492063,18.18181818,2.173913043,5.882352941,66.03773585,66.66666667,0,0,0,62.5,9.433962264,9.375,0,54.54545455,61.40350877,0,3.225806452,24.07407407,0,15.38461538,0,28.57142857,20.37037037,31.66666667,0,0,14.28571429,100,5.882352941,33.33333333,76.19047619,20,60,21.05263158,16.66666667,22.22222222,50.92592593,35.18518519,51.72413793,13.33333333,27.77777778
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae,0,0,78.26086957,0,0,0,0,0,75,0,52.83018868,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,28.57142857,14.28571429,0,23.52941176,0,0,0,0,15.78947368,50,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,58.73015873,40.90909091,0,0,26.41509434,45,0,100,75,25,66.03773585,37.5,9.090909091,4.545454545,43.85964912,8.333333333,38.70967742,5.555555556,28.57142857,34.61538462,4,47.61904762,24.07407407,63.33333333,25,0,28.57142857,33.33333333,11.76470588,0,38.0952381,20,20,84.21052632,16.66666667,100,21.2962963,33.33333333,37.93103448,48.33333333,8.333333333
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis,3.174603175,9.090909091,0,0,1.886792453,10,0,100,75,0,100,0,0,0,15.78947368,0,0,0,0,7.692307692,0,0,0,28.33333333,37.5,42.85714286,28.57142857,0,5.882352941,0,0,0,0,84.21052632,33.33333333,100,0,12.96296296,13.79310345,1.666666667,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,20.63492063,4.545454545,100,0,1.886792453,23.33333333,25,100,100,0,86.79245283,28.125,27.27272727,13.63636364,10.52631579,16.66666667,3.225806452,0,0,3.846153846,20,0,18.51851852,10,75,85.71428571,85.71428571,0,47.05882353,66.66666667,0,60,20,100,66.66666667,100,12.96296296,22.22222222,10.34482759,6.666666667,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,0,0,26.08695652,0,0,0,0,100,100,0,81.13207547,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,85.71428571,42.85714286,0,41.17647059,33.33333333,0,80,0,94.73684211,66.66666667,100,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;__,71.42857143,100,58.69565217,47.05882353,26.41509434,43.33333333,75,100,50,25,100,31.25,36.36363636,45.45454545,42.10526316,50,25.80645161,74.07407407,57.14285714,57.69230769,36,28.57142857,25.92592593,75,62.5,85.71428571,57.14285714,66.66666667,35.29411765,33.33333333,28.57142857,40,0,89.47368421,50,100,40.74074074,85.18518519,55.17241379,61.66666667,86.11111111
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified_Burkholderiales,0,4.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,14.28571429,0,0,0,0,0,0,0,36.84210526,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Ferritrophicales;Ferritrophicaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae,15.87301587,0,0,11.76470588,0,1.666666667,50,0,0,0,1.886792453,3.125,9.090909091,0,3.50877193,8.333333333,6.451612903,0,0,11.53846154,0,0,14.81481481,21.66666667,0,0,0,0,0,0,0,0,0,0,0,33.33333333,2.777777778,0,6.896551724,8.333333333,0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae,0,0,0,0,0,0,0,66.66666667,25,0,24.52830189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.57894737,0,33.33333333,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae,6.349206349,0,8.695652174,0,5.660377358,0,0,33.33333333,0,12.5,98.11320755,6.25,0,0,0,0,0,1.851851852,0,0,0,4.761904762,0,0,25,42.85714286,0,0,23.52941176,33.33333333,0,0,0,36.84210526,66.66666667,44.44444444,0,1.851851852,0,1.666666667,5.555555556
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,98.41269841,86.36363636,2.173913043,82.35294118,98.11320755,93.33333333,100,0,0,100,86.79245283,84.375,90.90909091,50,94.73684211,100,80.64516129,90.74074074,100,100,96,100,100,93.33333333,12.5,14.28571429,14.28571429,100,5.882352941,33.33333333,100,20,100,47.36842105,33.33333333,44.44444444,87.03703704,100,89.65517241,93.33333333,86.11111111
Bacteria;Proteobacteria;Betaproteobacteria;Sulfuricellales;Sulfuricellaceae,46.03174603,0,0,5.882352941,18.86792453,33.33333333,0,0,0,0,0,0,0,36.36363636,10.52631579,0,0,0,0,26.92307692,0,9.523809524,0,8.333333333,0,14.28571429,14.28571429,100,5.882352941,0,0,0,20,5.263157895,0,0,32.40740741,16.66666667,24.13793103,3.333333333,0
Bacteria;Proteobacteria;Betaproteobacteria;__;__,100,90.90909091,91.30434783,52.94117647,98.11320755,95,75,100,100,100,100,100,100,95.45454545,94.73684211,100,90.32258065,87.03703704,100,100,100,95.23809524,100,76.66666667,50,57.14285714,57.14285714,100,29.41176471,33.33333333,100,60,100,78.94736842,83.33333333,88.88888889,91.66666667,98.14814815,89.65517241,96.66666667,66.66666667
Bacteria;Proteobacteria;Betaproteobacteria;unclassified_Betaproteobacteria;,38.0952381,4.545454545,0,0,20.75471698,55,0,100,50,0,43.39622642,3.125,9.090909091,9.090909091,35.0877193,16.66666667,3.225806452,3.703703704,14.28571429,19.23076923,24,19.04761905,16.66666667,26.66666667,0,0,14.28571429,66.66666667,5.882352941,0,14.28571429,0,0,63.15789474,16.66666667,33.33333333,39.81481481,20.37037037,44.82758621,5,5.555555556
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae,44.44444444,54.54545455,4.347826087,35.29411765,24.52830189,70,0,0,0,25,3.773584906,34.375,45.45454545,0,64.9122807,33.33333333,19.35483871,11.11111111,71.42857143,61.53846154,28,19.04761905,37.03703704,11.66666667,12.5,0,14.28571429,66.66666667,0,0,0,0,20,42.10526316,16.66666667,0,39.81481481,88.88888889,62.06896552,35,11.11111111
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae,19.04761905,22.72727273,2.173913043,0,39.62264151,56.66666667,0,0,25,37.5,43.39622642,6.25,9.090909091,0,43.85964912,25,6.451612903,18.51851852,0,7.692307692,32,28.57142857,44.44444444,11.66666667,12.5,14.28571429,28.57142857,66.66666667,5.882352941,33.33333333,28.57142857,0,40,73.68421053,33.33333333,44.44444444,22.22222222,18.51851852,58.62068966,5,13.88888889
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Pseudobacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78947368,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;unclassified_Bdellovibrionales,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae,0,13.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_incertae_sedis;Deferrisoma,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae,4.761904762,0,0,0,7.547169811,6.666666667,0,0,0,0,0,3.125,9.090909091,4.545454545,5.263157895,8.333333333,3.225806452,0,0,7.692307692,8,4.761904762,7.407407407,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,1.851851852,10.34482759,1.666666667,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae,20.63492063,27.27272727,0,5.882352941,9.433962264,10,0,0,0,12.5,22.64150943,3.125,18.18181818,22.72727273,10.52631579,25,12.90322581,5.555555556,14.28571429,19.23076923,12,0,12.96296296,3.333333333,12.5,0,14.28571429,0,0,0,4.761904762,0,0,0,0,0,20.37037037,5.555555556,13.79310345,11.66666667,11.11111111
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae,0,0,0,0,0,0,0,0,0,0,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;__,0,0,0,0,0,0,0,0,0,0,5.660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae,0,0,0,0,0,0,0,0,0,0,7.547169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,9.523809524,18.18181818,2.173913043,17.64705882,1.886792453,8.333333333,0,0,0,0,1.886792453,12.5,0,4.545454545,5.263157895,0,54.83870968,64.81481481,42.85714286,19.23076923,20,4.761904762,12.96296296,6.666666667,0,0,14.28571429,0,0,0,4.761904762,20,40,0,0,0,31.48148148,7.407407407,6.896551724,40,41.66666667
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;__,0,36.36363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae,1.587301587,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,5.555555556,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,42.85714286,0,0,0,0,3.333333333,0,0,0,0,0,12.5,27.27272727,4.545454545,10.52631579,41.66666667,3.225806452,0,0,7.692307692,12,0,14.81481481,3.333333333,0,0,0,0,0,0,0,0,0,5.263157895,0,0,5.555555556,37.03703704,3.448275862,18.33333333,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;__,46.03174603,0,2.173913043,5.882352941,1.886792453,6.666666667,0,0,0,0,1.886792453,18.75,36.36363636,4.545454545,3.50877193,41.66666667,9.677419355,7.407407407,28.57142857,23.07692308,16,0,33.33333333,8.333333333,0,0,0,0,5.882352941,0,4.761904762,0,20,0,0,0,12.03703704,42.59259259,3.448275862,30,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;unclassified_Desulfuromonadales,7.936507937,0,0,0,0,0,0,0,0,0,1.886792453,3.125,0,0,0,0,0,0,0,0,0,0,3.703703704,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407407,0,1.666666667,0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae,57.14285714,9.090909091,6.52173913,23.52941176,50.94339623,75,50,66.66666667,0,50,43.39622642,34.375,45.45454545,9.090909091,70.1754386,83.33333333,12.90322581,31.48148148,42.85714286,23.07692308,68,52.38095238,66.66666667,35,0,28.57142857,42.85714286,100,17.64705882,33.33333333,38.0952381,20,100,57.89473684,33.33333333,55.55555556,56.48148148,75.92592593,62.06896552,35,47.22222222
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae,71.42857143,54.54545455,4.347826087,23.52941176,73.58490566,96.66666667,0,33.33333333,25,75,5.660377358,34.375,81.81818182,9.090909091,91.22807018,83.33333333,22.58064516,33.33333333,28.57142857,34.61538462,68,47.61904762,77.77777778,48.33333333,0,0,14.28571429,100,17.64705882,33.33333333,80.95238095,40,100,73.68421053,50,33.33333333,68.51851852,83.33333333,86.20689655,25,47.22222222
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae,22.22222222,4.545454545,0,5.882352941,18.86792453,51.66666667,0,0,0,12.5,0,6.25,9.090909091,0,43.85964912,8.333333333,3.225806452,1.851851852,0,23.07692308,12,0,9.259259259,6.666666667,0,0,14.28571429,66.66666667,0,0,4.761904762,0,80,10.52631579,16.66666667,0,20.37037037,33.33333333,34.48275862,13.33333333,0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae,52.38095238,4.545454545,4.347826087,35.29411765,75.47169811,95,0,66.66666667,50,100,90.56603774,43.75,81.81818182,9.090909091,75.43859649,83.33333333,19.35483871,50,57.14285714,26.92307692,64,57.14285714,74.07407407,46.66666667,37.5,57.14285714,42.85714286,100,17.64705882,33.33333333,76.19047619,60,80,78.94736842,66.66666667,66.66666667,60.18518519,57.40740741,96.55172414,26.66666667,66.66666667
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;__,31.74603175,0,4.347826087,5.882352941,39.62264151,68.33333333,100,33.33333333,25,12.5,18.86792453,12.5,63.63636364,4.545454545,57.89473684,75,6.451612903,12.96296296,0,23.07692308,60,42.85714286,50,20,12.5,28.57142857,57.14285714,66.66666667,11.76470588,0,33.33333333,20,80,52.63157895,33.33333333,11.11111111,38.88888889,20.37037037,65.51724138,11.66666667,2.777777778
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified_Myxococcales,28.57142857,4.545454545,0,0,41.50943396,56.66666667,0,0,0,12.5,71.69811321,6.25,27.27272727,4.545454545,50.87719298,41.66666667,3.225806452,5.555555556,0,0,24,23.80952381,25.92592593,10,0,0,0,33.33333333,5.882352941,0,19.04761905,0,60,15.78947368,16.66666667,11.11111111,34.25925926,18.51851852,68.96551724,5,2.777777778
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae,17.46031746,0,0,17.64705882,0,5,0,0,0,0,3.773584906,6.25,9.090909091,9.090909091,7.01754386,16.66666667,6.451612903,1.851851852,57.14285714,3.846153846,12,0,29.62962963,5,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,18.51851852,3.448275862,18.33333333,2.777777778
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae,6.349206349,0,2.173913043,0,0,0,0,0,0,0,5.660377358,0,0,0,1.754385965,0,3.225806452,0,0,11.53846154,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,5.263157895,0,0,3.703703704,0,0,11.66666667,0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophorhabdaceae;Syntrophorhabdus,1.587301587,0,0,0,5.660377358,1.666666667,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,0,5.555555556
Bacteria;Proteobacteria;Deltaproteobacteria;__;__,69.84126984,40.90909091,10.86956522,47.05882353,69.81132075,90,75,66.66666667,50,87.5,71.69811321,43.75,90.90909091,31.81818182,84.21052632,100,38.70967742,50,71.42857143,57.69230769,84,61.9047619,85.18518519,46.66666667,37.5,71.42857143,28.57142857,100,17.64705882,33.33333333,52.38095238,40,60,84.21052632,100,55.55555556,70.37037037,74.07407407,68.96551724,50,47.22222222
Bacteria;Proteobacteria;Deltaproteobacteria;unclassified_Deltaproteobacteria;,57.14285714,45.45454545,0,17.64705882,43.39622642,63.33333333,25,0,0,25,66.03773585,18.75,54.54545455,18.18181818,50.87719298,50,25.80645161,22.22222222,42.85714286,53.84615385,60,38.0952381,53.7037037,43.33333333,25,57.14285714,28.57142857,66.66666667,35.29411765,66.66666667,28.57142857,60,40,31.57894737,50,11.11111111,58.33333333,29.62962963,55.17241379,25,36.11111111
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae,31.74603175,4.545454545,0,11.76470588,0,0,0,0,0,0,0,6.25,18.18181818,0,3.50877193,16.66666667,3.225806452,1.851851852,14.28571429,3.846153846,16,4.761904762,18.51851852,1.666666667,0,0,0,0,5.882352941,0,9.523809524,0,0,0,16.66666667,0,6.481481481,42.59259259,3.448275862,26.66666667,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;__,0,0,4.347826087,0,0,0,0,0,0,0,50.94339623,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Epsilonproteobacteria;__;__,7.936507937,0,2.173913043,5.882352941,0,0,0,0,0,0,3.773584906,0,9.090909091,0,0,0,0,0,0,0,0,0,9.259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,3.333333333,0
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified_Epsilonproteobacteria;,0,0,2.173913043,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,0,0,0,0,0,0,0,0,0,0,96.22641509,3.125,0,0,0,0,0,7.407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.57894737,0,22.22222222,0,0,0,0,5.555555556
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,0,0,0,0,0,0,0,0,0,0,5.660377358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,0,0,25,0,0,0,32.0754717,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14.28571429,0,0,0,0,0,0,0,15.78947368,0,22.22222222,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,63.63636364,0,0,58.33333333,0,0,0,0,60,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae,0,0,0,0,0,0,0,0,0,0,88.67924528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae,11.11111111,4.545454545,0,29.41176471,9.433962264,0,0,0,0,25,0,59.375,100,27.27272727,0,100,12.90322581,5.555555556,71.42857143,61.53846154,100,9.523809524,64.81481481,3.333333333,0,0,0,0,0,0,9.523809524,0,40,0,0,0,12.03703704,0,0,41.66666667,2.777777778
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae,1.587301587,0,0,0,0,1.666666667,0,0,0,0,0,0,9.090909091,0,0,8.333333333,9.677419355,33.33333333,0,3.846153846,4,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,1.666666667,25
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;__,0,0,15.2173913,0,0,0,0,0,0,0,32.0754717,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0,0,14.28571429,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;unclassified_Alteromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae,1.587301587,9.090909091,4.347826087,0,1.886792453,3.333333333,0,0,25,12.5,3.773584906,0,0,0,8.771929825,0,0,0,0,0,0,4.761904762,9.259259259,5,0,0,0,0,0,33.33333333,14.28571429,0,0,21.05263158,0,0,1.851851852,1.851851852,10.34482759,3.333333333,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae,22.22222222,4.545454545,0,11.76470588,3.773584906,10,25,0,0,0,16.98113208,21.875,9.090909091,0,7.01754386,8.333333333,9.677419355,12.96296296,14.28571429,23.07692308,4,0,1.851851852,6.666666667,0,0,0,0,0,0,4.761904762,0,0,5.263157895,0,0,15.74074074,24.07407407,6.896551724,45,2.777777778
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae,0,0,0,0,0,1.666666667,0,0,0,0,0,3.125,9.090909091,0,0,8.333333333,6.451612903,1.851851852,0,3.846153846,0,0,5.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448275862,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae,4.761904762,0,0,0,0,1.666666667,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,5.555555556,0,0,0,0,0,5.882352941,0,4.761904762,0,0,0,0,0,0,1.851851852,0,1.666666667,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;__,12.6984127,22.72727273,2.173913043,0,20.75471698,31.66666667,0,0,0,12.5,0,3.125,0,0,21.05263158,8.333333333,16.12903226,3.703703704,0,11.53846154,0,14.28571429,1.851851852,3.333333333,0,14.28571429,0,33.33333333,5.882352941,0,14.28571429,20,40,15.78947368,0,0,25.92592593,7.407407407,27.5862069,5,5.555555556
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;unclassified_Chromatiales,1.587301587,0,0,0,0,10,0,0,0,0,0,0,0,0,1.754385965,0,0,0,0,3.846153846,0,0,0,5,0,0,0,0,0,0,0,0,0,5.263157895,0,0,4.62962963,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,100,100,0,100,98.11320755,85,75,100,100,100,90.56603774,100,100,100,87.71929825,100,100,100,100,92.30769231,100,100,100,70,87.5,100,100,100,94.11764706,100,100,80,100,100,66.66666667,100,100,53.7037037,86.20689655,100,97.22222222
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;CandidatusCarsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Halioglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Pseudohaliea,0,0,0,0,0,5,0,0,0,0,0,0,18.18181818,0,0,16.66666667,0,1.851851852,28.57142857,0,20,0,9.259259259,0,0,0,0,0,0,0,0,0,0,5.263157895,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Thiolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;__,26.98412698,63.63636364,0,0,3.773584906,53.33333333,0,0,0,0,43.39622642,3.125,0,31.81818182,45.61403509,0,9.677419355,0,0,7.692307692,0,0,1.851851852,16.66666667,0,0,0,33.33333333,0,0,4.761904762,0,20,0,0,0,39.81481481,66.66666667,58.62068966,6.666666667,0
