,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophorhabdaceae;Syntrophorhabdus,0.000661376,0,0,0,0.003144654,0.000694444,0,0,0,0,0,0.006510417,0,0,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0,0.008101852
Bacteria;Proteobacteria;Deltaproteobacteria;__;__,0.166005291,0.049242424,0.014492754,0.066176471,0.175314465,0.380555556,0.125,0.111111111,0.041666667,0.125,0.346698113,0.209635417,0.356060606,0.018939394,0.353070175,0.329861111,0.067204301,0.107253086,0.077380952,0.176282051,0.198333333,0.091269841,0.298611111,0.160416667,0.03125,0.06547619,0.083333333,0.263888889,0.071078431,0.277777778,0.101190476,0.025,0.075,0.339912281,0.201388889,0.064814815,0.226080247,0.152006173,0.209770115,0.090972222,0.136574074
Bacteria;Proteobacteria;Deltaproteobacteria;unclassified_Deltaproteobacteria;,0.12037037,0.053030303,0,0.041666667,0.068396226,0.191666667,0.010416667,0,0,0.026041667,0.269654088,0.037760417,0.068181818,0.011363636,0.104532164,0.090277778,0.084677419,0.034722222,0.047619048,0.08974359,0.088333333,0.043650794,0.104938272,0.254166667,0.015625,0.339285714,0.041666667,0.402777778,0.115196078,0.222222222,0.035714286,0.108333333,0.108333333,0.074561404,0.069444444,0.00462963,0.171682099,0.026234568,0.090517241,0.01875,0.085648148
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae,0.08531746,0.001893939,0,0.009803922,0,0,0,0,0,0,0,0.015625,0.007575758,0,0.004385965,0.006944444,0.001344086,0.003858025,0.011904762,0.003205128,0.006666667,0.005952381,0.012345679,0.002083333,0,0,0,0,0.004901961,0,0.015873016,0,0,0,0.013888889,0,0.007716049,0.331790123,0.002873563,0.064583333,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;__,0,0,0.028985507,0,0,0,0,0,0,0,0.063679245,0,0,0,0,0,0,0.000771605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Epsilonproteobacteria;__;__,0.013227513,0,0.002717391,0.00245098,0,0,0,0,0,0,0.003144654,0,0.011363636,0,0,0,0,0,0,0,0,0,0.013117284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0.004166667,0
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified_Epsilonproteobacteria;,0,0,0.000905797,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,0,0,0,0,0,0,0,0,0,0,1.031446541,0.005208333,0,0,0,0,0,0.015432099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065789474,0,0.027777778,0,0,0,0,0.00462963
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,0,0,0,0,0,0,0,0,0,0,0.081761006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,0,0,0,0,0,0,0.1875,0,0,0,0.053459119,0,0,0,0,0,0,0,0,0,0,0,0,0.127777778,0,0.005952381,0,0,0,0,0,0,0,0.074561404,0,0.074074074,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.401515152,0,0,0.3125,0,0,0,0,0.381666667,0,0.172067901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae,0,0,0,0,0,0,0,0,0,0,0.812106918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae,0.011243386,0.022727273,0,0.450980392,0.007075472,0,0,0,0,0.026041667,0,0.580729167,1.992424242,0.051136364,0,2.065972222,0.158602151,0.075617284,0.517857143,0.681089744,1.856666667,0.015873016,1.255401235,0.067361111,0,0,0,0,0,0,0.007936508,0,0.158333333,0,0,0,0.036265432,0,0,0.18125,0.006944444
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae,0.003968254,0,0,0,0,0.000694444,0,0,0,0,0,0,0.003787879,0,0,0.006944444,0.017473118,0.104166667,0,0.009615385,0.005,0,0,0.018055556,0,0,0,0,0,0,0,0,0,0,0,0,0.198688272,0,0,0.000694444,0.063657407
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;__,0,0,0.060688406,0,0,0,0,0,0,0,0.036163522,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0,0,0.011904762,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;unclassified_Alteromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae,0.000661376,0.009469697,0.030797101,0,0.004716981,0.011805556,0,0,0.041666667,0.005208333,0.001572327,0,0,0,0.022660819,0,0,0,0,0,0,0.005952381,0.013117284,0.025694444,0,0,0,0,0,0.013888889,0.031746032,0,0,0.013157895,0,0,0.014660494,0.000771605,0.038793103,0.002777778,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae,0.017857143,0.001893939,0,0.029411765,0.001572327,0.020833333,0.020833333,0,0,0,0.011006289,0.03125,0.011363636,0,0.032163743,0.006944444,0.005376344,0.027777778,0.011904762,0.025641026,0.003333333,0,0.000771605,0.025,0,0,0,0,0,0,0.003968254,0,0,0.006578947,0,0,0.040123457,0.035493827,0.024425287,0.047916667,0.005787037
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae,0,0,0,0,0,0.001388889,0,0,0,0,0,0.020833333,0.003787879,0,0,0.003472222,0.02016129,0.00154321,0,0.011217949,0,0,0.003858025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001436782,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae,0.003306878,0,0,0,0,0.000694444,0,0,0,0,0,0,0.003787879,0,0,0,0,0,0,0,0,0,0.005401235,0,0,0,0,0,0.00245098,0,0.005952381,0,0,0,0,0,0,0.00154321,0,0.001388889,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000730994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;__,0.013227513,0.024621212,0.00634058,0,0.022012579,0.068055556,0,0,0,0.005208333,0,0.001302083,0,0,0.054824561,0.003472222,0.02688172,0.005401235,0,0.014423077,0,0.015873016,0.00154321,0.0125,0,0.023809524,0,0.055555556,0.022058824,0,0.007936508,0.008333333,0.016666667,0.026315789,0,0,0.089506173,0.016203704,0.066091954,0.004861111,0.008101852
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;unclassified_Chromatiales,0.00462963,0,0,0,0,0.013194444,0,0,0,0,0,0,0,0,0.002923977,0,0,0,0,0.001602564,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0.005015432,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae,1.178571429,3.5,0,17.29411765,9.40172956,0.772916667,0.145833333,6.402777778,3.072916667,9.244791667,0.369496855,3.33203125,5.553030303,4.585227273,1.412280702,4.725694444,17.47580645,5.351851852,1.791666667,2.991987179,5.058333333,13.50198413,3.515432099,1.375694444,2.302083333,16.9047619,7.5,8.652777778,10.76470588,13.875,13.32539683,4.441666667,5.841666667,5.688596491,0.833333333,4.805555556,7.18904321,0.388888889,0.936781609,3.509027778,14.06597222
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;CandidatusCarsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Halioglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00672043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048611111,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Pseudohaliea,0,0,0,0,0,0.008333333,0,0,0,0,0,0,0.015151515,0,0,0.013888889,0,0.002314815,0.05952381,0,0.011666667,0,0.00617284,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Thiolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;__,0.03042328,0.3125,0,0,0.001572327,0.170138889,0,0,0,0,0.100628931,0.006510417,0,0.028409091,0.16374269,0,0.037634409,0,0,0.041666667,0,0,0.002314815,0.19375,0,0,0,0.027777778,0,0,0.003968254,0,0.008333333,0,0,0,0.12345679,0.283950617,0.117816092,0.004861111,0
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;unclassified_Gammaproteobacteria_incertae_sedis,0,0.005681818,0,0,0,0.004861111,0,0,0,0,0,0,0,0,0.020467836,0,0.012096774,0,0,0,0,0,0.000771605,0.015277778,0,0,0,0,0,0,0,0,0,0,0,0,0.002700617,0.002314815,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae,0,0,0,0,0,0.00625,0,0.041666667,1.479166667,0.005208333,0.005503145,0,0,0,0.001461988,0,0,0.003858025,0,0,0,0,0.000771605,0.013194444,0.041666667,0.06547619,0.017857143,0,0.009803922,0.027777778,0.007936508,0,0.025,0.23245614,0.013888889,0.152777778,0.001157407,0.00154321,0,0,0.002314815
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae,0,0,0,0,0,0,0,0.055555556,0,0,0.001572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028508772,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462963,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae,0.046957672,0,0,0.031862745,0.004716981,0.016666667,0,0,0,0,0.080974843,0.1015625,0.018939394,0.013257576,0.027046784,0.034722222,0.057795699,0.101851852,0.005952381,0.173076923,0.025,0,0.021604938,0.098611111,0,0,0,0.013888889,0,0.013888889,0,0,0.025,0.037280702,0,0,0.051697531,0.811728395,0.00862069,0.2875,0.207175926
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893939,0,0,0,0,0,0,0,0,0.002314815,0,0,0,0,0,0.004901961,0,0,0,0,0.01754386,0,0.037037037,0,0,0,0,0.002314815
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae,0.022486772,0.007575758,0,0.004901961,0.011792453,0.078472222,0.03125,0,0,0.026041667,0.000786164,0.204427083,0.132575758,0.009469697,0.100877193,0.079861111,0.135752688,0.094907407,0.119047619,0.15224359,0.021666667,0.011904762,0.152777778,0.051388889,0,0,0,0.027777778,0,0,0.037698413,0,0.016666667,0.01754386,0.006944444,0,0.065200617,0.037037037,0.083333333,0.029166667,0.032407407
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillales_incertae_sedis,0.111111111,0.017045455,0,0.007352941,0.009433962,0.046527778,0,0,0,0.052083333,0,0,0,0.013257576,0.029239766,0.003472222,0.063172043,0.070987654,0,0.012820513,0.003333333,0,0.026234568,0.003472222,0,0,0.011904762,0.027777778,0,0,0.017857143,0,0,0,0.006944444,0,0.396990741,0.076388889,0.020114943,0.009027778,0.074074074
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;__,0,0,0.046195652,0,0.001572327,0.009027778,8.197916667,0,0,0,0.014937107,0.00390625,0,0,0.002192982,0.003472222,0,0.016975309,0,0.008012821,0,0,0.010030864,0,0.005208333,0.238095238,0.035714286,0,0.012254902,0.263888889,0,0.191666667,0,0,0.006944444,0,0.020061728,0,0.002873563,0.001388889,0.001157407
Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae,0,0,0,0,0.003144654,0.000694444,0,0,0,0,0.003144654,0,0,0,0,0,0,0,0,0,0,0.001984127,0,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0.023148148,0,0,0,0.001157407
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,0.00462963,0.001893939,0,0.046568627,0.011006289,0,0,0,0,0.005208333,0.000786164,0.044270833,0,0.009469697,0.002923977,0.010416667,0.00672043,0.050925926,0.047619048,0.200320513,0,0.001984127,0.020833333,0.409027778,0.072916667,0.041666667,0.196428571,0,0.634803922,0,0.013888889,0.033333333,0.15,0.173245614,0.027777778,0.018518519,0.033564815,0,0.002873563,0.047222222,0.040509259
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,0.166005291,0.176136364,0.192934783,2.553921569,0.889150943,0.056944444,0.0625,1.166666667,0.270833333,0.182291667,0.227201258,0.841145833,0.007575758,1.287878788,0.042397661,0.003472222,4.838709677,2.286265432,0.494047619,1.096153846,0.008333333,2.817460317,0.06867284,1.192361111,0.171875,0.196428571,0.06547619,1.680555556,0.335784314,0.333333333,0.19047619,0.041666667,0.35,1.38377193,0.923611111,5.560185185,1.123070988,0.016975309,0.034482759,1.263194444,1.15162037
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,25.05753968,2.4375,37.82880435,13.25980392,20.89072327,21.34791667,0.770833333,9.694444444,3.635416667,27.890625,0.398584906,16.00260417,4.958333333,2.852272727,20.94078947,7.677083333,10.55913978,9.862654321,27.77380952,21.80448718,5.835,30.6765873,6.325617284,3.704166667,3.291666667,6.041666667,1.607142857,13.19444444,1.889705882,1.513888889,23.10714286,0.841666667,16.70833333,9.550438596,5.805555556,4.615740741,8.949074074,18.14969136,29.14224138,21.91458333,12.03935185
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;__,0.044973545,0.003787879,0.078804348,0,0,0.001388889,0.041666667,0,0.052083333,0,0,0,0,0,0,0,0.036290323,0,0,0.009615385,0,0,0,0.007638889,0.067708333,0,0.017857143,0.083333333,0,0,0,0,0,0.021929825,0,0.009259259,0.018132716,0,0.004310345,0.003472222,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;unclassified_Pseudomonadales,0.009259259,0,0,0.012254902,0.012578616,0.136111111,0.052083333,0,0,0,0,0.001302083,0.053030303,0.003787879,0.059210526,0.138888889,0.002688172,0.008487654,0.011904762,0.001602564,0.13,0.01984127,0.105709877,0.009722222,0,0,0,0.111111111,0.007352941,0,0.001984127,0.041666667,0.041666667,0,0.006944444,0.00462963,0.12191358,0.013888889,0.063218391,0.022916667,0.001157407
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010964912,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae,0.373677249,0,0,0,0.022798742,0.015277778,0,0,0,0.020833333,0,0.01171875,0.011363636,0.001893939,0.00877193,0.079861111,0.009408602,0.077932099,0.023809524,0.032051282,0.01,0.011904762,0.039351852,0.031944444,0,0,0.005952381,0.027777778,0.012254902,0,0.021825397,0,0.008333333,0,0.027777778,0,0.045138889,0.003858025,0.014367816,0.010416667,0.162037037
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales_incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.101190476,0.035714286,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;__,0,0,0,0,0.001572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae,0.009259259,0.011363636,0.453804348,0.022058824,0.005503145,0,0,0.055555556,0,0.005208333,0,0.040364583,37.61742424,0.009469697,0,32.50694444,0.048387097,0.019290123,0.029761905,0.016025641,33.31,0,22.08256173,0.000694444,0,0,0,0,0,0,0.005952381,0,0.116666667,0.030701754,0,0.055555556,0.12345679,0,0,0.010416667,0.006944444
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae,0.082671958,0,0.009057971,0.004901961,0.005503145,0.092361111,0,0.569444444,0.03125,0.005208333,0.281446541,0,0.037878788,0.729166667,0.073099415,0.09375,0.02016129,0.102623457,0,0,0.043333333,0.011904762,0.044753086,0.000694444,0,0,0.047619048,0,0.007352941,0.041666667,0,0,0.008333333,1.221491228,0,1.37962963,0.03433642,0.010802469,0.025862069,0.006944444,0.064814815
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,0.967592593,0.590909091,3.919384058,2.365196078,1.408018868,1.402777778,0.71875,0.861111111,1.375,1.098958333,0.303459119,6.684895833,1.825757576,1.946969697,1.543128655,1.701388889,1.569892473,2.358024691,9.696428571,6.709935897,2.346666667,1.910714286,1.641203704,2.247222222,0.760416667,0.56547619,0.553571429,3.763888889,0.355392157,0.444444444,2.432539683,0.066666667,1.9,2.368421053,2.319444444,1.101851852,2.349151235,0.37037037,1.772988506,7.206944444,1.136574074
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;__,0.000661376,0,0,0,0,0,0,0,0,0,0.036949686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019736842,0.027777778,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;unclassified_Xanthomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032894737,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;__;__,3.183862434,1.604166667,0.662137681,2.674019608,3.700471698,4.825,5.739583333,0.125,0.375,2.640625,1.193396226,1.9140625,20.59090909,13.53977273,4.461988304,18.16666667,6.309139785,2.450617284,3.148809524,2.568910256,18.74666667,1.337301587,13.91589506,16.75833333,1.166666667,1.321428571,1.077380952,3.152777778,0.56127451,4.527777778,1.692460317,0.541666667,2.4,0.217105263,2.527777778,0.143518519,4.013117284,5.155864198,3.719827586,3.396527778,2.675925926
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified_Gammaproteobacteria;,0.074074074,0,0,0.007352941,0.136792453,0.222222222,0,0,0,0.041666667,0,0.0078125,0,0.015151515,0.114766082,0,0.017473118,0.037037037,0,0,0,0.055555556,0.106481481,0.030555556,0.052083333,0,0,0.111111111,0.004901961,0.083333333,0.075396825,0,0.116666667,0.010964912,0.090277778,0,0.056712963,0.084876543,0.110632184,0.009027778,0.085648148
Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;Oligoflexaceae,0,0,0,0,0,0,0,0,0,0,0.030660377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039473684,0,0,0,0,0,0,0
Bacteria;Proteobacteria;__;__;__,3.300925926,46.11363636,5.451086957,4.833333333,2.294811321,3.940972222,0.770833333,0.208333333,0.166666667,2.026041667,3.071540881,4.08984375,1.003787879,0.693181818,4.02997076,0.767361111,1.240591398,2.658950617,4.505952381,6.350961538,0.68,1.426587302,2.177469136,2.510416667,0.552083333,0.452380952,0.797619048,3.069444444,0.230392157,1.472222222,1.998015873,0.55,2.316666667,0.557017544,1.270833333,0.425925926,2.280864198,4.263117284,3.261494253,4.9125,2.334490741
Bacteria;Proteobacteria;unclassified_Proteobacteria;;__,0,0,0,0,0,0,0,0,0,0,0.003930818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;SR1;SR1_genera_incertae_sedis;;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Leptospiraceae,0,0,0,0,0,0,0,0,0,0,0.419025157,0,0,0,0,0.003472222,0.009408602,0,0.041666667,0.004807692,0,0,0.005401235,0,0,0,0,0,0,0,0,0,0,0.00877193,0,0,0,0.000771605,0,0,0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae,0.007936508,0,0,0.629901961,0.007861635,0.001388889,0,0.097222222,0,0.015625,0.053459119,0.006510417,0.03030303,0.001893939,0.000730994,0.013888889,0.012096774,0.010030864,0.035714286,0.017628205,0.011666667,0.005952381,0.010802469,0.001388889,0,0.005952381,0.005952381,0,0,0,0.005952381,0,0.308333333,0.006578947,0,0,0.022376543,0.013888889,0,0.025,0.008101852
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0.003787879,0,0,0.014784946,0.00154321,0,0.004807692,0,0,0,0.000694444,0,0,0,0,0,0,0,0.008333333,0,0,0,0,0.018518519,0,0,0.004166667,0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023148148,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Entomoplasmataceae,0.001322751,0,0,0,0,0.002777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae,0,0,0,0,0,0.000694444,0,0,0,0,0,0,0,0,0.008040936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003968254,0,0,0,0,0,0.000385802,0.00154321,0.001436782,0,0
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;unclassified_Entomoplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001461988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019736842,0,0.023148148,0,0,0,0,0
Bacteria;Tenericutes;Mollicutes;unclassified_Mollicutes;,0,0.024621212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0,0.002777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003858025,0,0,0.00462963
Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001929012,0,0,0.017361111,0
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae,0,0,0.057065217,0,0,0,0,0.083333333,0.09375,0,0.047955975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.148809524,0.071428571,0,0.012254902,0,0,0,0,0.399122807,0.006944444,0.523148148,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae,0,0,0,0,0,0,0,0,0,0,0.551100629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0.00462963,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;unclassified_Opitutae;,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089912281,0,0.300925926,0,0,0,0,0
