,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae,60,22,46,17,53,45,4,1,3,8,53,32,11,22,42,11,31,52,7,26,25,21,47,60,1,1,1,3,1,1,21,1,5,6,3,0,59,49,19,60,36
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Parachlamydiaceae,60,22,46,17,53,60,4,2,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,5,6,5,60,54,29,60,36
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;__,60,22,46,17,53,60,4,1,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,9,6,4,60,54,29,60,36
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;unclassified_Chlamydiales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae,54,22,46,14,49,57,4,3,4,8,53,29,11,22,54,12,31,51,6,26,25,21,53,60,8,7,7,2,17,2,21,4,5,19,6,9,55,46,28,58,34
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae,56,21,44,16,48,52,0,3,4,8,9,29,6,22,53,4,30,52,6,23,15,21,32,59,7,7,7,2,17,3,20,4,5,16,6,9,56,51,29,57,36
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae,60,22,46,17,53,54,4,3,4,8,51,32,11,22,53,12,31,54,7,25,25,21,54,60,8,7,7,3,16,3,21,4,5,15,6,9,56,53,26,60,36
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexineae,60,22,46,17,53,60,4,3,3,8,46,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae,60,22,46,17,53,60,4,3,4,8,35,32,11,22,57,12,31,52,7,26,23,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,28,60,36
Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;Kallotenuaceae,60,22,46,17,52,59,4,3,2,7,53,32,11,22,57,11,31,54,7,26,25,20,54,60,8,7,7,3,16,3,21,3,5,18,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Chloroflexia;__;__,60,22,46,17,53,59,4,3,4,8,48,32,11,22,56,12,31,54,7,26,25,21,54,60,7,7,7,3,14,2,21,4,5,17,4,9,59,54,29,58,36
Bacteria;Chloroflexi;Chloroflexia;unclassified_Chloroflexia;,58,22,46,17,47,42,4,2,4,7,52,32,8,22,46,8,29,52,7,21,20,18,47,57,8,7,7,1,16,3,21,4,5,13,5,9,51,38,23,57,36
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,5,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae,60,22,46,17,53,60,4,1,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae,58,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,52,7,26,25,21,54,59,8,7,7,3,17,3,21,4,5,18,5,9,59,54,29,60,25
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;__,59,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,20,54,60,8,7,6,3,17,3,21,4,5,15,6,7,60,54,29,60,36
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;unclassified_Ktedonobacterales,59,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,50,7,26,25,21,54,60,8,7,6,3,17,3,21,4,5,19,6,9,59,54,29,60,30
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacteridae;Sphaerobacterales,60,22,45,17,53,60,4,3,2,8,47,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Thermomicrobia;__;__,60,22,46,17,53,60,4,2,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,17,6,9,60,54,29,60,36
Bacteria;Chloroflexi;__;__;__,41,22,45,16,46,45,1,2,3,8,45,24,8,22,46,6,24,48,6,20,17,19,40,54,8,7,6,3,16,3,21,4,5,13,4,7,38,42,26,53,30
Bacteria;Chloroflexi;unclassified_Chloroflexi;;__,45,22,46,13,39,43,2,3,4,8,51,20,10,18,40,11,16,46,4,18,22,18,51,54,8,7,6,1,16,3,20,4,2,17,6,9,28,43,20,40,32
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae,60,22,46,15,53,60,4,3,4,8,53,32,11,22,57,12,29,54,7,24,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,36
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae,36,18,45,9,50,57,3,1,3,8,35,23,8,21,47,10,21,39,6,19,17,18,42,52,7,6,3,3,15,3,18,2,2,7,4,3,50,43,27,36,31
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae,60,22,46,17,51,54,4,3,4,8,52,31,10,22,50,12,28,52,7,26,25,20,54,60,8,7,7,3,17,3,21,4,5,19,6,8,54,54,24,60,35
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;__,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;unclassified_Deinococcales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae,54,19,46,17,52,58,4,3,4,8,53,32,11,20,56,12,31,51,7,26,25,21,53,52,7,7,7,3,16,3,21,4,4,19,5,9,57,53,29,56,36
Bacteria;Deinococcus-Thermus;Deinococci;__;__,59,22,45,17,52,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,19,5,5,19,6,9,59,54,29,60,36
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae,58,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Elusimicrobia;Endomicrobia;CandidatusEndomicrobium;,55,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,29,54,7,25,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Elusimicrobia;__;__;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,36
Bacteria;Elusimicrobia;unclassified_Elusimicrobia;;__,41,22,46,15,42,41,4,2,4,7,53,32,9,22,46,8,31,45,7,24,20,17,49,50,8,6,7,1,15,3,18,5,4,18,6,8,41,49,22,59,29
Bacteria;Fibrobacteres;Chitinivibrionia;Chitinivibrionales;Chitinivibrionaceae,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae,60,22,45,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae,59,22,46,16,52,58,4,0,0,8,53,30,11,20,56,12,28,46,7,26,25,20,46,57,8,5,6,3,17,3,21,5,5,0,6,0,59,54,29,59,28
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae1,33,17,46,7,48,40,2,3,2,8,46,22,11,16,48,11,10,26,7,22,24,18,48,49,8,7,7,2,16,3,18,5,3,10,6,7,34,45,20,48,29
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae2,58,21,45,16,52,59,4,3,3,8,53,30,10,21,56,12,31,53,7,26,25,21,53,56,6,7,6,3,16,3,20,5,5,18,4,8,54,52,28,59,36
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillales_IncertaeSedisX,60,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillales_IncertaeSedisXI,60,22,46,17,53,60,4,3,4,8,49,32,11,22,57,12,31,54,7,26,25,21,54,60,6,6,6,3,13,3,21,4,5,16,6,8,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillales_IncertaeSedisXII,60,22,46,17,53,60,4,1,4,8,8,32,11,22,57,12,31,54,7,26,25,21,54,60,6,5,7,3,13,2,21,4,5,17,4,7,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillales_incertae_sedis,60,22,46,17,53,60,4,3,4,8,53,32,11,20,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,4,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae,60,22,46,17,53,59,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,6,7,6,3,17,3,21,5,5,15,5,8,60,53,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae1,50,20,46,11,49,40,4,2,4,4,52,15,11,13,45,12,12,35,2,8,23,21,44,34,7,6,4,2,15,2,16,4,2,12,6,7,41,47,15,10,21
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae2,60,22,46,17,53,60,4,3,4,8,53,32,11,20,57,12,31,54,7,25,25,21,54,59,8,7,7,3,16,3,21,5,5,19,6,9,59,54,29,60,35
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,36,15,46,13,48,39,4,0,2,7,40,31,9,13,39,12,30,38,7,22,23,20,47,37,7,4,5,2,14,3,20,5,3,11,4,1,45,46,18,50,22
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,54,60,8,6,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae,52,9,46,7,35,46,1,0,1,5,43,7,11,19,47,10,11,13,1,7,25,12,39,21,4,1,5,2,15,1,14,2,3,0,3,0,23,46,20,8,18
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae1,59,22,46,17,52,60,4,3,4,8,53,32,11,22,57,12,31,48,7,24,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,28,59,31
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae2,60,22,46,17,53,60,4,3,4,8,53,32,11,21,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,35
Bacteria;Firmicutes;Bacilli;Bacillales;__,39,19,41,12,41,46,0,2,2,4,19,26,8,9,41,4,24,36,6,15,20,12,36,30,2,1,2,2,4,1,13,3,2,12,2,5,41,43,23,35,16
Bacteria;Firmicutes;Bacilli;Bacillales;unclassified_Bacillales,60,22,44,16,52,60,4,3,4,8,51,32,11,21,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae,59,21,46,16,52,59,4,2,4,8,48,30,11,22,56,12,31,54,6,25,25,21,54,50,7,6,6,3,16,3,21,5,5,13,5,1,57,54,29,57,36
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,56,21,45,14,50,59,3,1,3,6,44,30,0,22,53,0,29,47,4,16,1,20,14,46,8,7,6,3,16,2,20,5,4,4,6,6,52,53,28,49,32
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,56,22,46,14,43,59,2,3,4,8,52,26,11,22,57,12,26,52,7,25,25,20,53,57,8,6,7,3,16,3,18,4,4,19,5,8,53,53,29,53,34
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae,42,22,43,13,44,58,1,3,3,7,53,20,11,16,55,12,27,50,6,13,24,18,48,45,8,7,7,2,17,3,18,5,4,12,6,7,56,53,27,41,35
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae,44,16,46,16,44,59,4,3,4,6,52,30,11,21,53,12,27,33,6,24,25,17,52,55,8,6,7,2,11,3,18,5,3,15,5,8,51,51,27,54,29
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae,49,12,46,7,36,47,1,0,2,6,35,7,0,13,45,0,8,18,1,4,0,8,8,24,6,1,2,2,0,2,11,1,4,2,3,4,25,51,21,13,18
Bacteria;Firmicutes;Bacilli;Lactobacillales;__,47,19,37,7,47,59,1,2,3,5,53,9,0,18,51,0,14,22,1,2,1,15,15,47,8,6,7,3,16,3,18,4,3,17,6,9,42,53,27,11,25
Bacteria;Firmicutes;Bacilli;Lactobacillales;unclassified_Lactobacillales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,52,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;__;__,59,21,21,17,46,51,2,3,4,8,52,32,9,22,53,8,30,48,7,20,23,17,43,49,6,6,6,2,15,2,20,3,4,17,4,9,54,54,27,58,35
Bacteria;Firmicutes;Bacilli;unclassified_Bacilli;,60,22,45,17,53,56,4,3,4,8,53,31,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Catabacteriaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae1,24,18,43,13,47,48,3,3,4,5,48,3,6,4,51,6,1,17,6,8,15,18,37,49,8,7,7,3,17,3,18,5,3,16,6,7,28,11,26,15,13
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae2,58,15,46,17,53,60,3,3,4,8,53,32,11,22,57,12,30,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisIII,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,35
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisXI,57,19,45,10,51,60,4,2,4,8,53,24,11,17,55,11,25,38,7,15,23,21,52,53,4,4,2,3,10,2,19,3,5,11,3,6,48,54,29,39,24
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisXII,60,18,46,17,53,60,3,3,4,8,46,32,11,22,57,12,31,53,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,58,53,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisXIII,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,25,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisXVIII,60,22,46,17,53,60,4,3,4,8,53,32,11,21,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,35
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae,57,22,46,17,52,59,4,3,4,7,53,31,11,22,56,12,30,39,7,25,23,21,52,56,8,7,7,3,17,3,20,5,2,19,6,9,57,52,29,59,25
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae,60,22,44,17,53,60,4,3,4,8,53,32,11,22,57,12,31,43,7,23,24,21,54,59,8,7,7,3,17,3,21,4,5,19,6,9,53,54,29,56,29
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae,60,22,46,17,53,58,4,3,4,8,53,32,10,16,56,12,31,53,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,57,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,20,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,40,20,40,5,44,50,1,1,4,6,51,10,8,4,47,11,1,13,1,3,18,18,42,43,4,5,5,3,9,2,12,4,2,11,4,4,25,15,24,5,12
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae1,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae2,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,59,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,5,6,3,12,2,21,4,5,17,5,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae,37,17,44,11,48,57,0,3,4,8,37,6,9,2,54,11,9,28,4,9,19,19,40,56,8,7,6,3,17,3,20,5,5,16,6,6,42,11,26,17,30
Bacteria;Firmicutes;Clostridia;Clostridiales;Proteinivoraceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,6,7,3,17,3,21,5,5,19,6,9,58,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,44,17,40,5,46,50,1,2,4,5,51,16,7,10,51,9,0,7,2,4,16,20,40,48,7,7,4,2,14,2,17,4,2,11,5,3,20,29,24,7,5
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae,57,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,25,25,21,54,57,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,32
Bacteria;Firmicutes;Clostridia;Clostridiales;__,56,17,39,12,50,58,1,2,4,7,45,20,11,17,55,11,24,35,6,21,19,20,39,57,8,6,5,3,16,3,20,4,4,15,6,6,42,42,29,40,22
Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified_Clostridiales,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,2,21,5,5,19,6,7,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,30,54,7,26,25,21,54,60,8,7,5,3,17,3,21,5,5,19,6,9,59,54,29,60,35
Bacteria;Firmicutes;Clostridia;__;__,58,22,45,17,53,59,4,3,4,8,53,32,11,20,55,10,30,42,7,25,22,20,53,59,8,7,7,3,17,3,20,5,4,19,6,9,57,53,29,59,33
Bacteria;Firmicutes;Clostridia;unclassified_Clostridia;,60,22,46,17,53,59,4,3,4,8,53,32,11,21,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,58,54,29,60,36
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae,59,22,45,16,51,55,2,3,4,7,53,27,10,16,50,11,22,32,4,22,15,19,46,54,8,7,7,2,16,3,19,5,3,19,6,8,44,17,27,42,16
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae,58,21,46,15,53,60,4,3,2,8,48,31,11,20,57,12,30,53,7,24,25,21,54,58,7,5,6,2,14,3,21,1,4,15,4,7,54,53,29,56,35
Bacteria;Firmicutes;Negativicutes;Selenomonadales;__,59,22,46,13,51,59,4,3,4,7,53,25,11,22,56,12,26,44,6,13,25,21,53,60,8,7,7,3,17,3,20,5,3,19,6,9,48,52,28,43,32
Bacteria;Firmicutes;Negativicutes;Selenomonadales;unclassified_Selenomonadales,58,22,46,14,52,60,4,3,4,8,53,26,11,21,56,12,30,46,4,19,25,21,51,52,8,7,7,3,17,3,21,5,4,19,6,9,57,53,29,46,33
Bacteria;Firmicutes;__;__;__,44,19,42,6,32,32,0,3,3,4,36,21,4,10,37,5,0,8,2,10,15,15,18,52,6,6,2,0,15,2,14,4,3,14,3,8,16,22,19,7,8
Bacteria;Firmicutes;unclassified_Firmicutes;;__,57,20,46,17,49,55,3,3,4,6,47,31,11,19,55,10,30,45,7,24,25,20,48,58,7,7,7,3,17,3,18,4,4,19,6,9,56,52,28,57,32
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,57,7,43,15,52,57,2,3,4,8,20,27,7,16,57,9,3,30,5,12,21,21,40,56,8,6,7,3,14,3,18,5,4,16,5,7,33,15,26,18,26
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,58,21,45,15,52,60,4,3,3,8,50,31,11,22,56,12,31,46,7,21,25,20,53,54,6,7,7,3,15,3,20,5,5,17,4,8,58,53,29,57,34
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;__,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;unclassified_Fusobacteriales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae,58,19,43,16,53,57,4,1,1,8,17,32,11,22,53,12,31,54,7,26,25,21,54,59,7,7,3,3,14,3,21,4,4,6,4,5,58,51,27,57,36
Bacteria;Hydrogenedentes;CandidatusHydrogenedens;;__,59,22,46,17,52,59,3,3,3,8,52,32,11,22,52,11,30,54,7,26,25,21,54,60,8,7,7,2,17,3,21,5,5,19,6,9,57,54,27,58,36
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae,54,22,45,16,52,57,3,3,4,8,22,31,11,22,54,9,27,53,5,26,24,21,52,60,8,7,7,3,17,3,21,4,5,17,6,9,54,53,28,57,36
Bacteria;Latescibacteria;Latescibacteria_genera_incertae_sedis;;__,56,22,46,17,53,59,4,3,4,8,53,31,11,22,53,10,31,54,7,25,25,21,51,58,8,7,6,3,17,3,21,5,5,19,6,9,57,54,27,60,36
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,50,29,60,36
Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Oligosphaeraceae,59,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,56,36
Bacteria;Lentisphaerae;__;__;__,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Lentisphaerae;unclassified_Lentisphaerae;;__,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Microgenomates;Microgenomates_genera_incertae_sedis;;__,60,22,46,17,52,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,20,5,5,18,6,8,60,54,29,60,36
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae,60,22,46,17,53,60,4,3,3,8,9,32,11,22,57,12,31,54,7,26,25,21,54,60,7,6,7,3,16,2,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Omnitrophica;Omnitrophica_genera_incertae_sedis;;__,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Parcubacteria;Parcubacteria_genera_incertae_sedis;;__,52,22,45,17,50,41,4,2,1,8,13,30,11,22,46,12,30,53,7,24,25,20,54,49,7,5,5,1,16,3,19,4,5,5,4,2,57,41,25,60,35
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae,60,22,46,17,53,59,4,3,4,8,32,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,12,6,9,59,54,29,60,36
Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae,57,22,46,16,50,50,4,3,4,8,53,31,11,22,49,12,31,54,7,26,25,19,54,57,8,7,7,2,17,3,21,5,5,18,5,8,60,52,22,60,36
Bacteria;Planctomycetes;Phycisphaerae;__;__,60,22,46,16,53,60,4,3,4,8,42,32,11,22,57,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,15,6,9,60,54,29,58,36
